Sample in Buffer,Sample in Window,TRIGGER,design_1_i/compress_0_WC_TDATA[31:0],design_1_i/compress_0_WC_TVALID
0,0,0,00000000000000000000000000110000,1
1,1,0,00000000000000000000000000110001,1
2,2,0,00000000000000000000000000110010,1
3,3,0,00000000000000000000000000110011,1
4,4,0,00000000000000000000000000110100,1
5,5,0,00000000000000000000000000110101,1
6,6,0,00000000000000000000000000110110,1
7,7,0,00000000000000000000000000110111,1
8,8,0,00000000000000000000000000111000,1
9,9,0,00000000000000000000000000111001,1
10,10,0,00000000000000000000000000111010,1
11,11,0,00000000000000000000000000111011,1
12,12,0,00000000000000000000000000111100,1
13,13,0,00000000000000000000000000111101,1
14,14,0,00000000000000000000000000111110,1
15,15,0,00000000000000000000000000111111,1
16,16,0,00000000000000000000000001000000,1
17,17,0,00000000000000000000000001000001,1
18,18,0,00000000000000000000000001000010,1
19,19,0,00000000000000000000000001000011,1
20,20,0,00000000000000000000000001000100,1
21,21,0,00000000000000000000000001000011,1
22,22,0,00000000000000000000000001000010,1
23,23,0,00000000000000000000000001000001,1
24,24,0,00000000000000000000000001000000,1
25,25,0,00000000000000000000000000111111,1
26,26,0,00000000000000000000000000111110,1
27,27,0,00000000000000000000000000111101,1
28,28,0,00000000000000000000000000111100,1
29,29,0,00000000000000000000000000111011,1
30,30,0,00000000000000000000000000111010,1
31,31,0,00000000000000000000000000111001,1
32,32,0,00000000000000000000000000111000,1
33,33,0,00000000000000000000000000110111,1
34,34,0,00000000000000000000000000110110,1
35,35,0,00000000000000000000000000110101,1
36,36,0,00000000000000000000000000110100,1
37,37,0,00000000000000000000000000110011,1
38,38,0,00000000000000000000000000110010,1
39,39,0,00000000000000000000000000110001,1
40,40,0,11111111111111111111111111111111,1
41,41,0,00000000000000000000001111101001,1
42,42,0,11111111111111111111111111111111,1
43,43,0,00000000000000000000001111101011,1
44,44,0,11111111111111111111111111111111,1
45,45,0,00000000000000000000001111101101,1
46,46,0,11111111111111111111111111111111,1
47,47,0,00000000000000000000001111101111,1
48,48,0,11111111111111111111111111111111,1
49,49,0,00000000000000000000001111110001,1
50,50,0,11111111111111111111111111111111,1
51,51,0,00000000000000000000001111110011,1
52,52,0,11111111111111111111111111111111,1
53,53,0,00000000000000000000001111110101,1
54,54,0,11111111111111111111111111111111,1
55,55,0,00000000000000000000001111110111,1
56,56,0,11111111111111111111111111111111,1
57,57,0,00000000000000000000001111111001,1
58,58,0,11111111111111111111111111111111,1
59,59,0,00000000000000000000001111111011,1
60,60,0,11111111111111111111111111111111,1
61,61,0,00000000000000000000001111111101,1
62,62,0,11111111111111111111111111111111,1
63,63,0,00000000000000000000001111111111,1
64,64,0,11111111111111111111111111111111,1
65,65,0,00000000000000000000010000000001,1
66,66,0,11111111111111111111111111111111,1
67,67,0,00000000000000000000010000000011,1
68,68,0,11111111111111111111111111111111,1
69,69,0,00000000000000000000010000000101,1
70,70,0,11111111111111111111111111111111,1
71,71,0,00000000000000000000010000000111,1
72,72,0,11111111111111111111111111111111,1
73,73,0,00000000000000000000010000001001,1
74,74,0,11111111111111111111111111111111,1
75,75,0,00000000000000000000010000001011,1
76,76,0,11111111111111111111111111111111,1
77,77,0,00000000000000000000010000001101,1
78,78,0,11111111111111111111111111111111,1
79,79,0,00000000000000000000010000001111,1
80,80,0,11111111111111111111111111111111,1
81,81,0,11111111111111111111111111111111,1
82,82,0,00000000000000000000010000010001,1
83,83,0,11111111111111111111111111111111,1
84,84,0,00000000000000000000001111101100,1
85,85,0,11111111111111111111111111111111,1
86,86,0,00000000000000000000001111101110,1
87,87,0,11111111111111111111111111111111,1
88,88,0,00000000000000000000001111110000,1
89,89,0,11111111111111111111111111111111,1
90,90,0,00000000000000000000001111110010,1
91,91,0,11111111111111111111111111111111,1
92,92,0,00000000000000000000001111110100,1
93,93,0,11111111111111111111111111111111,1
94,94,0,00000000000000000000001111110110,1
95,95,0,11111111111111111111111111111111,1
96,96,0,00000000000000000000001111111000,1
97,97,0,11111111111111111111111111111111,1
98,98,0,00000000000000000000001111111010,1
99,99,0,11111111111111111111111111111111,1
100,100,0,00000000000000000000001111111100,1
101,101,0,11111111111111111111111111111111,1
102,102,0,00000000000000000000001111111110,1
103,103,0,11111111111111111111111111111111,1
104,104,0,00000000000000000000010000000000,1
105,105,0,11111111111111111111111111111111,1
106,106,0,00000000000000000000010000000010,1
107,107,0,11111111111111111111111111111111,1
108,108,0,00000000000000000000010000000100,1
109,109,0,11111111111111111111111111111111,1
110,110,0,00000000000000000000010000000110,1
111,111,0,11111111111111111111111111111111,1
112,112,0,00000000000000000000010000001000,1
113,113,0,11111111111111111111111111111111,1
114,114,0,00000000000000000000010000001010,1
115,115,0,11111111111111111111111111111111,1
116,116,0,00000000000000000000010000001100,1
117,117,0,11111111111111111111111111111111,1
118,118,0,00000000000000000000010000001110,1
119,119,0,11111111111111111111111111111111,1
120,120,0,00000000000000000000010000010000,1
121,121,0,11111111111111111111111111111111,1
122,122,0,00000000000000000000001111101010,1
123,123,0,11111111111111111111111111111111,1
124,124,0,11111111111111111111111111111111,1
125,125,0,00000000000000000000010000100110,1
126,126,0,11111111111111111111111111111111,1
127,127,0,11111111111111111111111111111111,1
128,128,0,00000000000000000000010000010100,1
129,129,0,11111111111111111111111111111111,1
130,130,0,11111111111111111111111111111111,1
131,131,0,00000000000000000000010000101001,1
132,132,0,11111111111111111111111111111111,1
133,133,0,11111111111111111111111111111111,1
134,134,0,00000000000000000000010000010111,1
135,135,0,11111111111111111111111111111111,1
136,136,0,11111111111111111111111111111111,1
137,137,0,00000000000000000000010000101100,1
138,138,0,11111111111111111111111111111111,1
139,139,0,11111111111111111111111111111111,1
140,140,0,00000000000000000000010000011010,1
141,141,0,11111111111111111111111111111111,1
142,142,0,11111111111111111111111111111111,1
143,143,0,00000000000000000000010000101111,1
144,144,0,11111111111111111111111111111111,1
145,145,0,11111111111111111111111111111111,1
146,146,0,00000000000000000000010000011101,1
147,147,0,11111111111111111111111111111111,1
148,148,0,11111111111111111111111111111111,1
149,149,0,00000000000000000000010000110010,1
150,150,0,11111111111111111111111111111111,1
151,151,0,11111111111111111111111111111111,1
152,152,0,00000000000000000000010000100000,1
153,153,0,11111111111111111111111111111111,1
154,154,0,11111111111111111111111111111111,1
155,155,0,00000000000000000000010000110101,1
156,156,0,11111111111111111111111111111111,1
157,157,0,11111111111111111111111111111111,1
158,158,0,00000000000000000000010000100011,1
159,159,0,11111111111111111111111111111111,1
160,160,0,11111111111111111111111111111111,1
161,161,0,00000000000000000000010000111000,1
162,162,0,11111111111111111111111111111111,1
163,163,0,11111111111111111111111111111111,1
164,164,0,00000000000000000000010000010010,1
165,165,0,11111111111111111111111111111111,1
166,166,0,11111111111111111111111111111111,1
167,167,0,00000000000000000000010000100111,1
168,168,0,11111111111111111111111111111111,1
169,169,0,11111111111111111111111111111111,1
170,170,0,00000000000000000000010000010101,1
171,171,0,11111111111111111111111111111111,1
172,172,0,11111111111111111111111111111111,1
173,173,0,00000000000000000000010000101010,1
174,174,0,11111111111111111111111111111111,1
175,175,0,11111111111111111111111111111111,1
176,176,0,00000000000000000000010000011000,1
177,177,0,11111111111111111111111111111111,1
178,178,0,11111111111111111111111111111111,1
179,179,0,00000000000000000000010000101101,1
180,180,0,11111111111111111111111111111111,1
181,181,0,11111111111111111111111111111111,1
182,182,0,00000000000000000000010000011011,1
183,183,0,11111111111111111111111111111111,1
184,184,0,11111111111111111111111111111111,1
185,185,0,00000000000000000000010000110000,1
186,186,0,11111111111111111111111111111111,1
187,187,0,11111111111111111111111111111111,1
188,188,0,00000000000000000000010000011110,1
189,189,0,11111111111111111111111111111111,1
190,190,0,11111111111111111111111111111111,1
191,191,0,00000000000000000000010000110011,1
192,192,0,11111111111111111111111111111111,1
193,193,0,11111111111111111111111111111111,1
194,194,0,00000000000000000000010000100001,1
195,195,0,11111111111111111111111111111111,1
196,196,0,11111111111111111111111111111111,1
197,197,0,00000000000000000000010000110110,1
198,198,0,11111111111111111111111111111111,1
199,199,0,11111111111111111111111111111111,1
200,200,0,00000000000000000000010000100100,1
201,201,0,11111111111111111111111111111111,1
202,202,0,11111111111111111111111111111111,1
